"Facility","TestsPerformed","Positive","Negative",
"Albemarle CI","2","0","2",
"Alexander CI","1","0","1",
"Anson CI","2","0","2",
"Avery-Mitchell CI","2","0","2",
"Bertie CI","39","10","29",
"Burke CRV","0","0","0",
"Caldwell CC","2","0","2",
"Caledonia CI","26","17","9",
"Carteret CC","0","0","0",
"Caswell CC","9","9","0",
"Catawba CC","0","0","0",
"Central Prison","41","3","38",
"Columbus CI","1","0","1",
"Craggy CC","3","0","3",
"Craven CI","7","0","7",
"Dan River PWF","0","0","0",
"Davidson CC","0","0","0",
"Eastern CI","3","0","3",
"Foothills CI","1","0","1",
"Forsyth CC","0","0","0",
"Franklin CC","0","0","0",
"Gaston CC","0","0","0",
"Greene CI","18","0","18",
"Harnett CI","0","0","0",
"Hyde CI","2","0","2",
"Johnston CI","17","3","14",
"Lincoln CC","0","0","0",
"Lumberton CI","4","0","4",
"Marion CI","0","0","0",
"Maury CI","7","0","7",
"Morrison CI","0","0","0",
"Mountain View CI","3","0","3",
"NC CI Women","212","90","122",
"Nash CI","1","0","1",
"Neuse CI","701","467","234",
"New Hanover CC","0","0","0",
"North Piedmont CRV","0","0","0",
"Orange CC","1","0","1",
"Pamlico CI","1","0","1",
"Pasquotank CI","49","19","30",
"Pender CI","8","4","4",
"Piedmont CI","12","0","12",
"Polk CI","6","0","6",
"Raleigh CCW","1","0","1",
"Randolph CC","1","0","1",
"Rutherford CC","0","0","0",
"Sampson CI","2","0","2",
"Sanford CC","0","0","0",
"Scotland CI","20","3","17",
"Southern CI","3","2","1",
"Swannanoa CCW","0","0","0",
"Tabor CI","16","0","16",
"Wake CC","1","0","1",
"Warren CI","0","0","0",
"Wilkes CC","0","0","0",
"Statewide Totals","1225","627","598",
